custid,policystartd,policyendd,gender,age,ptype,vclass,vcolor,vmaker,product
ID_2DF1Y6K,7/19/10,7/18/11,Female,51,1,Saloon,,TOYOTA,CarSafe
ID_2DIW77G,5/30/10,5/29/11,Male,80,1,,As Attached,TOYOTA,Car Classic
ID_2DL1VCD,4/6/10,4/5/11,Male,36,1,Saloon,Silver,TOYOTA,Car Classic
ID_2DLO8BB,3/7/10,3/6/11,Male,38,1,Saloon,Black,Audi,Car Classic
ID_2DTQ22D,8/20/10,2/18/11,Male,40,1,,,,Car Classic
ID_2DXWUFO,9/23/10,9/22/11,Female,32,1,Saloon,As Attached,TOYOTA,Car Classic
ID_2EBS770,7/28/10,7/27/11,Male,40,2,Saloon,White,Mercedes,Car Plus
ID_2EDP72K,11/1/10,10/31/11,Male,41,1,,,,CarSafe
ID_2EEABVW,10/21/10,10/20/11,Female,76,1,,,,Car Classic
ID_2EEXT9I,11/27/10,11/26/11,Male,30,1,,,,CarSafe
ID_2ELF7ON,1/9/10,1/8/11,Male,57,1,Saloon,,TOYOTA,CarSafe
ID_2EOW8OM,1/23/10,1/22/11,NOT STATED,35,1,Saloon,Green,TOYOTA,Car Classic
ID_2EULIGC,1/29/10,1/28/11,Female,50,1,Saloon,,TOYOTA,CarSafe
ID_2EY6C5L,3/12/10,3/10/11,Male,42,1,Saloon,Wine,Honda,Car Classic
ID_2FCKHW9,10/25/10,7/27/11,Male,37,1,Saloon,Green,TOYOTA,Car Classic
ID_2FES1X4,4/27/10,4/26/11,Male,37,2,Saloon,,Lexus,CarSafe
ID_2FLHPHO,5/6/10,5/5/11,Female,68,1,JEEP,Silver,Hyundai,Car Classic
ID_2FP05DI,6/18/10,6/17/11,NOT STATED,31,1,Saloon,,Volkswagen,CarSafe
ID_2FQ5FIY,10/2/10,10/1/11,Female,62,1,,,,CarSafe
ID_2FQNIOS,12/12/10,6/11/11,Female,33,1,,,,Car Classic
ID_2FSH3ZL,4/9/10,4/4/11,Female,30,1,Saloon,Green,Honda,Car Classic
ID_2FVQ9ZF,2/5/10,2/4/11,Male,30,1,Saloon,White,TOYOTA,Car Classic
ID_2G3EKVV,10/22/10,12/31/10,,38,1,,Black,Audi,Customized Motor
ID_2G4R4G7,2/4/10,2/3/11,Male,30,2,Saloon,Black,Honda,Car Classic
ID_2GEONJS,1/29/10,1/28/11,Male,40,1,Saloon,,Honda,Car Classic
ID_2GEVJUU,1/30/10,1/29/11,Male,40,2,,,Honda,Car Classic
ID_2GHGBPT,3/25/10,3/24/11,Female,40,1,Saloon,,TOYOTA,CarSafe
ID_2GK0PV3,11/8/10,11/7/11,Male,44,1,Saloon,Black,TOYOTA,Car Classic
ID_2GPGNHH,7/12/10,7/11/11,Male,34,1,Saloon,Red,TOYOTA,Car Classic
ID_2GPSPBI,9/24/10,9/23/11,Male,1,2,,,,Car Classic
ID_2GZPV2U,3/29/10,3/28/11,Joint Gender,45,1,JEEP,Black,Honda,Car Classic
ID_2H00MXY,2/14/10,2/13/11,Female,41,1,Saloon,,Hyundai,Car Classic
ID_2H05IGQ,1/15/10,1/14/11,Male,68,1,Saloon,,Hyundai,CarSafe
ID_2H2M0RX,10/15/10,7/10/11,Female,45,1,JEEP,Blue,Mercedes,Car Classic
ID_2H55IJT,6/25/10,6/24/11,Male,43,2,JEEP,Black,Lexus,Car Classic
ID_2H5MGUY,2/7/10,2/6/11,Male,41,1,Saloon,,Suzuki,CarSafe
ID_2H7TT8K,1/8/10,1/7/11,NOT STATED,40,1,Saloon,,TOYOTA,CarSafe
ID_2H9ZD9D,11/2/10,11/1/11,Male,36,1,Saloon,,TOYOTA,CarSafe
ID_2HASJN3,7/6/10,7/5/11,Female,38,1,Saloon,Green,Hyundai,Car Classic
ID_2HHS23N,10/21/10,10/20/11,Male,50,1,Saloon,,Honda,CarSafe
ID_2HJAGTZ,12/20/10,12/19/11,Male,58,1,Saloon,,TOYOTA,CarSafe
ID_2HQ06E4,11/7/10,11/6/11,Male,43,2,Saloon,Black,TOYOTA,Car Classic
ID_2HTCFLG,9/24/10,9/23/11,Joint Gender,73,1,JEEP,Black,Honda,Car Classic
ID_2HTJMUX,4/10/10,4/9/11,Female,34,1,Saloon,Ash,TOYOTA,Car Classic
ID_2I4727E,3/7/10,3/6/11,Male,56,2,Saloon,,TOYOTA,Car Classic
ID_2ILL58B,6/21/10,6/20/11,Female,70,2,Saloon,,TOYOTA,Car Classic
ID_2IMEOEN,6/6/10,6/5/11,Male,42,1,Saloon,Grey,TOYOTA,Car Classic
ID_2IN8QOA,9/4/10,9/3/11,Female,36,1,JEEP,Grey,TOYOTA,Car Classic
ID_2INUI1S,2/27/10,2/26/11,Male,46,2,Mini Bus,Gold,TOYOTA,Car Classic
ID_2IOQAKR,2/21/10,2/20/11,Male,51,1,JEEP,Black,TOYOTA,Car Classic
ID_2IORD25,12/24/10,12/23/11,,64,1,,,,Car Classic
ID_2IQMA29,3/20/10,3/19/11,Male,34,1,,Ash,Lexus,Car Classic
ID_2IRJIXX,3/5/10,3/4/11,Male,39,1,,White,TOYOTA,Car Plus
ID_2ITZL8T,1/3/10,1/2/11,Male,47,1,Saloon,,Honda,Car Classic
ID_2IUE8SM,1/29/10,1/28/11,Male,38,1,,,TOYOTA,Car Classic
ID_2J2VJVU,3/11/10,3/10/11,Entity,40,2,,,Mercedes,Car Classic
ID_2J3N61I,10/10/10,10/9/11,Female,66,1,,,,Car Classic
ID_2J5WCH3,8/15/10,8/14/11,Male,48,1,,,,CarSafe
ID_2JAO5K2,10/29/10,1/28/11,Male,43,2,Saloon,,MINI COOPER,Car Classic
ID_2JCPR87,11/6/10,8/6/11,Male,52,3,Saloon,As Attached,TOYOTA,Car Classic
ID_2JJE5FZ,12/17/10,7/25/11,Female,72,1,,,,Car Classic
ID_2JKAUIG,2/20/10,2/19/11,Male,45,4,JEEP,Black,Honda,Car Classic
ID_2JN7UY0,12/5/10,12/4/11,Male,31,1,,,,Car Classic
ID_2KCLMOC,7/23/10,7/22/11,Male,1,1,Saloon,,Honda,CarSafe
ID_2KCTY8U,12/4/10,12/3/11,,50,1,,,,Car Classic
ID_2KFSMVL,11/13/10,2/12/11,Female,62,1,,,,Car Plus
ID_2KJPXBO,11/22/10,11/21/11,Female,52,1,Saloon,Blue,Honda,Car Classic
ID_2KK9O9J,11/12/10,11/11/11,Male,50,1,Saloon,,Volkswagen,CarSafe
ID_2KNC3PL,8/20/10,8/19/11,Male,41,1,Saloon,,Lexus,CarSafe
ID_2KQCTTN,11/13/10,11/12/11,Male,37,1,,,,Car Classic
ID_2KQPVJS,2/4/10,2/3/11,Male,61,1,Saloon,,Chevrolet,CarSafe
ID_2KTNMSF,3/22/10,3/21/11,Female,30,1,Saloon,,TOYOTA,CarSafe
ID_2KYYOEE,5/20/10,5/13/11,Male,44,1,JEEP,Black,TOYOTA,Car Classic
ID_2KYZF0B,5/31/10,5/30/11,Male,35,1,Saloon,Silver,TOYOTA,Car Classic
ID_2KZDTKH,1/14/10,1/13/11,Male,40,1,Saloon,,TOYOTA,CarSafe
ID_2L0H9US,5/23/10,5/22/11,Male,34,2,JEEP,Black,TOYOTA,Car Classic
ID_2L0MCGY,4/29/10,4/28/11,Male,54,2,,,Mercedes,Customized Motor
ID_2LDU1GQ,2/15/10,2/14/11,Joint Gender,47,1,Saloon,Black,TOYOTA,Car Classic
ID_2LHEZPD,5/10/10,5/9/11,Male,35,1,Truck,Orange,Mercedes,CVTP
ID_2LJ6U4O,1/1/10,12/31/10,Entity,20,3,,,,Muuve
ID_2LNPTE7,2/6/10,2/5/11,Female,40,1,Saloon,,Nissan,CarSafe
ID_2LXV0TM,8/22/10,8/21/11,Male,33,1,,,,CarSafe
ID_2LZ9BSN,8/27/10,8/26/11,Male,40,2,,,,Car Classic
ID_2M9KI2P,6/17/10,6/16/11,Entity,9,1,Saloon,Blue,TOYOTA,Car Classic
ID_2M9S06X,8/8/10,8/7/11,NOT STATED,40,3,,,,CVTP
ID_2MMLOXY,8/16/10,8/15/11,Male,57,1,,,,Car Classic
ID_2MUI8KZ,9/20/10,9/18/11,Female,37,1,,,,Car Classic
ID_2N317ZT,8/28/10,8/27/11,Male,66,3,Saloon,Black,TOYOTA,Car Classic
ID_2N8DMW5,9/14/10,9/13/11,Male,43,1,Saloon,Grey,TOYOTA,Car Plus
ID_2NNS6XB,6/24/10,6/23/11,Male,54,1,Saloon,Black,Mercedes,Car Classic
ID_2NQ7P3I,9/2/10,8/31/11,Male,47,1,,,,CarSafe
ID_2O6JAS9,10/29/10,10/28/11,Female,68,1,,,,CarSafe
ID_2OGGPLM,10/25/10,10/24/11,Female,31,1,,White,Mercedes,Car Classic
ID_2OJZDXE,5/24/10,5/23/11,Male,20,1,,White,TOYOTA,CVTP
ID_2OOJZCU,1/6/10,1/5/11,Female,66,1,Saloon,,Mercedes,CarSafe
ID_2OOYRY6,4/10/10,4/9/11,Male,42,1,Saloon,,Mazda,CarSafe
ID_2OP3GQM,11/18/10,5/17/11,Male,34,1,,,,CVTP
ID_2OPJN9F,11/26/10,11/25/11,Male,66,2,JEEP,Black,TOYOTA,Car Classic
ID_2OQOG3W,7/4/10,7/3/11,Male,50,1,Saloon,,TOYOTA,CarSafe
ID_2OSVIZE,11/12/10,11/11/11,Female,63,2,,,,Car Classic
ID_2OVCLF7,8/21/10,8/20/11,Male,40,1,,,,CarSafe
ID_2P2NKHL,7/3/10,7/2/11,Male,47,1,Saloon,,Hyundai,CarSafe
ID_2PAL95C,9/16/10,9/15/11,Female,39,3,,,Ford,Car Classic
ID_2POQK63,7/31/10,7/30/11,Male,12,2,JEEP,Black,Lexus,Customized Motor
ID_2PRT9Z3,11/18/10,11/17/11,Female,50,1,,,,Car Classic
ID_2PT77AZ,3/21/10,3/20/11,Male,6,1,Saloon,,Nissan,CarSafe
ID_2PVDXGL,9/26/10,9/25/11,Male,1,1,,,,CarSafe
ID_2PWO6GT,1/16/10,1/6/11,Male,33,1,Saloon,,Honda,Car Classic
ID_2PZP7J7,9/23/10,9/22/11,Male,40,1,,,,CarSafe
ID_2Q25625,10/29/10,9/2/11,Male,41,1,,,TOYOTA,Car Classic
ID_2Q5AQ73,8/9/10,8/8/11,Female,41,1,,,,CarSafe
ID_2Q89TS0,12/10/10,12/9/11,Male,31,1,,,,CarSafe
ID_2QBY97M,9/4/10,3/3/11,Male,39,1,,,,Car Classic
ID_2QDXTNV,6/27/10,6/26/11,Male,50,1,Saloon,,Kia,CarSafe
ID_2QGBV8J,7/29/10,7/28/11,Male,26,1,Saloon,Silver,TOYOTA,Car Classic
ID_2QNVI28,2/27/10,2/26/11,Male,33,1,Saloon,Silver,TOYOTA,Car Classic
ID_2QSOUCZ,4/4/10,4/3/11,Female,28,1,Saloon,Silver,TOYOTA,Car Classic
ID_2QWZR3N,11/14/10,2/13/11,Male,44,1,,,TOYOTA,Car Classic
ID_2R5BVSI,10/2/10,10/1/11,Female,28,1,Saloon,,TOYOTA,Car Classic
ID_2R8VSMY,9/9/10,3/8/11,Male,37,1,,,,Car Classic
ID_2RILWSN,7/9/10,2/21/11,NO GENDER,25,1,Truck,Green,Iveco,CVTP
ID_2RJOHLV,11/22/10,11/21/11,Female,58,2,JEEP,Black,TOYOTA,Car Classic
ID_2RMVS6O,8/16/10,8/15/11,Female,26,1,,,,Car Classic
ID_2RNC8KB,3/6/10,3/4/11,Male,32,1,CAMRY CAR HIRE,,TOYOTA,Car Classic
ID_2RNP05M,10/29/10,10/28/11,Male,56,1,,,,CarSafe
ID_2RTY3Q1,1/7/10,1/6/11,Male,35,1,JEEP,Silver,Lexus,Car Classic
ID_2RW1A3J,8/21/10,8/20/11,Male,53,1,,,,Car Classic
ID_2S28MB7,7/30/10,7/29/11,Male,54,1,JEEP,Blue,Nissan,Car Classic
ID_2S32R1Z,12/5/10,12/4/11,Female,40,4,Saloon,Black,Mercedes,Customized Motor
ID_2S5N0LC,10/7/10,10/6/11,Female,41,1,,,,CarSafe
ID_2S7HVQO,3/12/10,3/11/11,NOT STATED,40,1,Saloon,,TOYOTA,CarSafe
ID_2S825FA,5/30/10,5/29/11,Male,32,1,Saloon,Red,TOYOTA,Car Plus
ID_2SDEO5E,4/15/10,4/14/11,Male,41,1,Saloon,Blue,TOYOTA,Car Classic
ID_2SDWXIZ,7/10/10,7/9/11,Female,81,2,Saloon,Silver,TOYOTA,Car Classic
ID_2SJOEF6,3/23/10,3/22/11,Male,71,1,Saloon,Silver,TOYOTA,Car Classic
ID_2SSN4XW,4/30/10,4/29/11,Female,40,1,Saloon,Black,TOYOTA,Car Classic
ID_2SVHNS2,7/16/10,7/15/11,Male,28,2,Saloon,Black,TOYOTA,Car Plus
ID_2SWIGKH,3/4/07,8/3/37,Male,37,1,Saloon,Gold,TOYOTA,CarSafe
ID_2T69QU2,5/11/10,5/10/11,Female,61,1,Saloon,Green,TOYOTA,Car Classic
ID_2T84WM4,4/25/10,4/24/11,Female,51,1,Saloon,,Volkswagen,CarSafe
ID_2THCWKR,10/7/10,10/6/11,Female,55,2,,,,CVTP
ID_2TN8JI2,3/27/10,3/26/11,Female,29,1,Saloon,Blue,TOYOTA,Car Classic
ID_2TQ3X1L,11/9/10,11/8/11,Male,60,1,Saloon,,Volkswagen,CarSafe
ID_2TQS6E8,7/25/10,7/15/11,Male,48,2,Truck,Blue,Mack,CVTP
ID_2TUMDU3,5/9/10,1/4/11,Female,43,1,JEEP,,KA,Car Classic
ID_2U0MQHT,11/25/10,11/24/11,Female,39,1,,,,Car Classic
ID_2U37VYI,4/29/10,4/28/11,Male,38,1,Saloon,Grey,Lexus,Car Classic
ID_2U8EVS0,2/26/10,2/25/11,Male,76,1,Saloon,,As Attached,Car Classic
ID_2UEJ07E,1/3/10,1/2/11,Male,60,1,JEEP,,Honda,CarSafe
ID_2UL93JY,8/5/10,8/4/11,Female,35,2,JEEP,,Honda,Car Classic
ID_2UM7AAZ,1/11/10,1/10/11,Female,20,2,,,Hyundai,Customized Motor
ID_2UO5495,8/20/10,8/19/11,Female,41,1,,,,CarSafe
ID_2UQQB28,12/29/10,12/28/11,Male,48,1,JEEP,Black,Range Rover,Customized Motor
ID_2UR0A1V,3/21/10,3/20/11,Female,37,1,Saloon,Black,TOYOTA,Car Classic
ID_2URBTZC,8/7/10,8/6/11,Female,40,1,,,,Car Classic
ID_2V68SBR,4/9/10,4/8/11,Male,67,2,,,TOYOTA,Car Classic
ID_2VBE17W,5/6/10,2/5/11,Male,35,1,Saloon,Ash,TOYOTA,Car Classic
ID_2VFX3VT,2/18/10,2/15/11,Male,36,1,JEEP,Grey,Honda,Car Classic
ID_2VJIKV9,12/3/10,11/3/11,Male,42,1,,Ash,Mercedes,Car Classic
ID_2VKC7RK,6/20/10,1/11/11,Male,33,1,Saloon,Ash,TOYOTA,Car Classic
ID_2VRM30S,1/18/10,1/17/11,Female,56,1,Saloon,Black,Mercedes,Car Classic
ID_2VROVUF,12/23/10,12/22/11,Male,46,1,,,,Car Classic
ID_2VWXL27,11/7/10,11/6/11,Female,31,1,,,,Car Classic
ID_2VXQBD4,2/13/10,2/12/11,Female,27,1,Saloon,Black,Hyundai,Car Classic
ID_2VYJTZX,11/13/10,11/12/11,Male,39,1,,,,Car Plus
ID_2W1XNO1,7/28/10,1/28/11,Male,44,1,Saloon,,TOYOTA,CarFlex
ID_2W63715,7/28/10,7/27/11,Male,40,1,Saloon,,TOYOTA,Car Classic
ID_2W7AX2D,2/10/10,2/9/11,Joint Gender,64,2,Saloon,Black,Honda,Car Classic
ID_2WF9N6C,6/19/10,6/18/11,Female,60,1,Saloon,Ash,TOYOTA,Car Classic
ID_2WJ3Y1G,10/17/10,1/17/11,Male,37,1,JEEP,Green,Honda,Car Classic
ID_2WTAKFA,2/1/10,1/31/11,Male,54,1,,Silver,TOYOTA,Customized Motor
ID_2WUTLHH,4/23/10,4/22/11,Female,45,1,,,Hyundai,Car Classic
ID_2WW429E,3/1/10,3/1/11,Male,50,1,Saloon,As Attached,TOYOTA,CarSafe
ID_2WX8Q03,12/22/10,12/21/11,Male,42,1,,,BMW,Car Classic
ID_2X7JKYX,2/19/10,2/18/11,Male,44,1,,Black,Ford,Customized Motor
ID_2XEI2MW,7/2/10,7/1/11,Male,36,1,Saloon,,Honda,CarSafe
ID_2XFN565,11/25/10,11/23/11,Male,34,1,,,,Car Classic
ID_2XN676R,11/7/10,11/6/11,Female,35,1,,,,CarSafe
ID_2XSRQKE,2/27/10,2/26/11,Male,40,1,Saloon,Silver,Mercedes,Car Classic
ID_2XWOISY,12/30/10,6/29/11,Male,36,1,JEEP,Blue,Lexus,Car Classic
ID_2YA259R,3/21/10,3/20/11,Female,39,1,Saloon,Ash,TOYOTA,Car Classic
ID_2YKGBYO,6/13/10,6/12/11,Male,55,1,Truck,White,Mack,CVTP
ID_2YSVETD,11/29/10,11/28/11,Male,3,1,,,,CarSafe
ID_2YSXI7D,2/23/10,2/22/11,Male,51,5,JEEP,,TOYOTA,Customized Motor
ID_2YTU9TO,4/8/10,4/1/11,Male,28,1,JEEP,As Attached,TOYOTA,Car Classic
ID_2YWYL3B,8/29/10,8/27/11,Male,40,1,,,,CarSafe
ID_2YZH90S,9/10/10,3/22/11,Male,71,1,Saloon,Silver,TOYOTA,Car Classic
ID_2Z0MRCL,10/14/10,8/22/11,Male,78,2,JEEP,Black,Hyundai,Car Classic
ID_2Z2H3HF,2/11/10,2/10/11,Female,54,3,Saloon,,TOYOTA,Car Classic
ID_2Z39K8Z,7/25/10,5/29/11,Female,36,1,Saloon,Black,TOYOTA,Car Classic
ID_2ZCMCUQ,2/25/10,2/24/11,Joint Gender,54,1,Mini Van,Green,TOYOTA,Car Classic
ID_2ZOTNS0,12/17/10,12/16/11,Joint Gender,50,1,Saloon,,TOYOTA,CarSafe
ID_2ZTP6B8,4/16/10,4/15/11,Male,44,1,,,TOYOTA,Car Classic
ID_2ZYQMTM,12/17/10,3/23/11,Male,39,2,Saloon,Silver,TOYOTA,Car Classic
ID_302HU8H,4/30/10,4/28/11,Male,36,2,Saloon,,Hyundai,Car Classic
ID_303ZUGS,2/22/10,2/21/11,Male,29,1,Saloon,,TOYOTA,Car Classic
ID_30PIV30,10/15/10,10/14/11,Male,40,1,,,,CarSafe
ID_30QC56U,8/23/10,7/31/11,Female,26,1,Saloon,Brown,Peugeot,Car Classic
ID_30TJR1G,1/22/10,1/21/11,Male,36,2,Saloon,,Mercedes,Car Classic
ID_30VL90F,1/17/10,1/16/11,Male,42,1,,As Attached,Range Rover,Car Classic
ID_30WCDP0,11/7/10,11/6/11,Male,39,2,,,,Car Classic
ID_30ZGQ37,12/3/10,12/2/11,Male,45,2,,Black,Honda,Customized Motor
ID_30ZJPKM,5/27/10,5/26/11,Male,37,1,Saloon,White,Mercedes,Car Classic
ID_310BZUA,6/20/10,6/19/11,Male,46,1,Saloon,,TOYOTA,CarSafe
ID_31488PQ,11/2/10,11/1/11,Male,51,1,Saloon,,TOYOTA,CarSafe
ID_314CQGD,4/8/10,4/7/11,Male,45,1,Saloon,Black,Hyundai,Car Plus
ID_3150CQE,10/29/10,10/28/11,Male,46,2,JEEP,,Honda,Car Plus
ID_319RMWL,1/27/10,1/26/11,Male,37,1,,Black,Ford,Car Classic
ID_31APEIR,8/16/10,8/15/11,Male,50,1,,,,CarSafe
ID_31C21H5,1/8/10,1/7/11,Male,40,1,Saloon,Black,TOYOTA,Car Classic
ID_31J9NWA,8/22/10,8/21/11,Male,42,1,Saloon,,Honda,CarSafe
ID_31JMWZX,10/23/10,10/21/11,Female,61,1,,,,CarFlex
ID_31LHO0S,1/1/10,12/31/10,Female,53,1,JEEP,,TOYOTA,CarSafe
ID_31NINF3,5/8/10,5/6/11,Male,38,1,Saloon,,TOYOTA,Car Plus
ID_31SWJ90,1/2/10,1/1/11,Male,45,1,Saloon,,Honda,CarSafe
ID_31UJKJ8,1/12/10,1/11/11,Male,48,1,Saloon,,Mazda,CarSafe
ID_31X1PLN,9/10/10,9/9/11,Male,20,1,,Black,Mercedes,Car Classic
ID_31ZUBVK,4/3/10,4/2/11,Male,64,2,Saloon,Green,TOYOTA,Car Classic
ID_320Z5ZI,2/13/10,2/12/11,Male,66,1,JEEP,Silver,Chevrolet,Car Classic
ID_324WHS2,1/14/10,1/13/11,Entity,40,4,Saloon,Black,Nissan,Car Classic
ID_326OWE4,4/1/10,3/31/11,Female,39,1,Saloon,Black,Mercedes,Car Classic
ID_32E8YTG,7/11/10,7/10/11,Male,48,1,,Silver,Ford,Car Classic
ID_32EW08Y,9/13/10,9/12/11,Male,38,1,Saloon,Silver,TOYOTA,Car Classic
ID_32LIHR0,10/30/10,10/29/11,Male,37,1,,,,CarSafe
ID_32PDVP0,9/6/10,8/8/11,Male,53,1,,,,Car Classic
ID_32RJKC5,6/6/10,6/5/11,Male,42,1,Saloon,Grey,TOYOTA,Car Classic
ID_32SOUPO,10/30/10,10/29/11,,36,1,,,,Car Classic
ID_337B3HY,6/17/10,2/22/11,Male,51,1,,,TOYOTA,Car Classic
ID_33AEF9Y,12/23/10,12/22/11,Male,31,1,,,,CarSafe
ID_33GXJWV,8/2/10,8/1/11,Male,38,2,Saloon,Blue,TOYOTA,Car Classic
ID_33IUFG2,2/20/10,2/19/11,Male,11,5,JEEP,Blue,Hyundai,Car Classic
ID_33V3WAW,7/30/10,2/9/11,Female,49,2,,,,Car Classic
ID_344ACXW,8/14/10,8/13/11,NO GENDER,20,3,,As Attached,TOYOTA,Car Classic
ID_34LJY8A,7/24/10,7/23/11,Female,42,1,Saloon,Silver,TOYOTA,Car Classic
ID_34RET1K,2/8/10,2/7/11,Male,50,1,Saloon,,Honda,CarSafe
ID_34SRW1V,4/30/10,4/29/11,Female,40,1,Saloon,,Volkswagen,CarSafe
ID_356E7TX,7/10/10,5/5/11,NOT STATED,6,1,JEEP,,Mercedes,Car Classic
ID_356YCO1,4/16/10,4/15/11,Male,34,1,Saloon,Black,Mercedes,Car Classic
ID_35A9ILX,5/12/10,5/11/11,Male,39,1,Saloon,,TOYOTA,Car Classic
ID_35AGYRW,3/22/10,3/21/11,Male,38,1,Saloon,,Honda,CarSafe
ID_35TJ0X9,11/19/10,11/18/11,Male,31,1,,,,CarSafe
ID_35TLTQM,7/2/10,7/1/11,Male,45,1,Saloon,,TOYOTA,CarSafe
ID_35TQ1DV,8/22/10,8/20/11,Female,50,1,Saloon,,Ford,Car Classic
ID_3639SJR,4/10/10,4/9/11,Female,65,1,Saloon,,Kia,CarSafe
ID_365SU1U,7/17/10,7/16/11,Male,68,1,Saloon,,Peugeot,CarSafe
ID_368T4CI,3/14/10,3/13/11,Male,53,1,Saloon,,Hyundai,CarSafe
ID_3699IFV,1/19/10,1/18/11,Joint Gender,35,1,,Silver,Lexus,Car Plus
ID_36CH990,9/27/10,6/13/11,Male,40,1,Saloon,Green,TOYOTA,Car Classic
ID_36CIRQQ,9/12/10,3/5/11,Male,3,1,,,,Car Classic
ID_36E26TX,5/14/10,5/13/11,Male,41,1,JEEP,Gold,TOYOTA,Car Classic
ID_36G94DU,2/1/10,1/31/11,Female,50,1,Saloon,,TOYOTA,CarSafe
ID_36JTS1Y,9/25/10,9/24/11,Male,46,1,,,,Car Plus
ID_36JUDKQ,12/23/10,12/22/11,Male,51,1,,,,CarSafe
ID_36S5PTX,1/8/10,1/7/11,Male,35,1,Saloon,,TOYOTA,CarSafe
ID_36SBM1Z,8/8/10,8/7/11,Male,1,1,,,,CarSafe
ID_36T8DQH,11/27/10,11/26/11,Male,46,2,Saloon,,TOYOTA,CarSafe
ID_371GD85,5/30/10,5/29/11,Joint Gender,51,1,Saloon,,TOYOTA,CarSafe
ID_375AYTY,3/27/10,3/26/11,Female,1,1,Saloon,,TOYOTA,CarSafe
ID_37HJ4IX,8/28/10,2/25/11,Female,38,2,,,,Car Classic
ID_37J3MSO,1/7/10,1/6/11,Female,50,1,Saloon,Black,Hyundai,CarSafe
ID_37M7HOS,8/15/10,8/14/11,Male,32,3,,,,Car Classic
ID_37NA0J6,4/6/10,4/5/11,Male,46,1,,,BMW,Car Plus
ID_37XNT1O,6/2/10,6/1/11,Female,30,2,Saloon,,TOYOTA,Car Plus
ID_381Q0R2,2/28/10,2/27/11,Male,55,1,,,Mercedes,Car Classic
ID_382U9F1,12/9/10,12/8/11,Female,37,1,JEEP,Gold,ACURA,Car Classic
ID_38391DV,5/22/10,5/21/11,Female,52,1,JEEP,Black,Lexus,Car Classic
ID_383HP7I,12/28/10,12/27/11,Male,51,1,,Grey,TOYOTA,Car Classic
ID_384TB8T,6/7/10,6/6/11,Female,41,1,Saloon,,TOYOTA,CarSafe
ID_38AMIMN,4/9/10,4/9/11,Female,44,1,Saloon,,Kia,CarFlex
ID_38DWCYD,5/21/10,5/20/11,Female,38,1,Bus,,TOYOTA,CVTP
ID_38H0HW4,10/23/10,10/22/11,Female,2,1,,,,CarSafe
ID_38I1V3C,6/24/10,6/23/11,Female,36,2,JEEP,,Mercedes,CarSafe
ID_38PFYH3,10/3/10,10/2/11,Female,42,2,JEEP,Black,Kia,Car Classic
ID_38YAP12,3/1/10,2/28/11,Female,65,1,Saloon,Grey,TOYOTA,Car Classic
ID_399QBCG,12/17/10,12/16/11,Male,20,1,Saloon,,Honda,CarSafe
ID_39CEXJN,6/6/10,6/5/11,Male,40,1,Saloon,,Range Rover,CarSafe
ID_39L9D4B,2/20/10,2/19/11,Female,67,1,Saloon,Black,Kia,Car Classic
ID_39M0YB8,12/17/10,12/16/11,Joint Gender,56,1,JEEP,Black,Mitsubishi,Car Classic
ID_39OYFAB,12/6/10,6/5/11,Female,37,1,,,Lexus,Car Classic
ID_39R912D,11/1/10,2/11/11,Male,38,2,JEEP,White,TOYOTA,Car Classic
ID_39VNR0V,4/4/10,4/3/11,Female,53,1,Saloon,,Honda,Car Classic
ID_3A7NA8X,2/27/10,2/26/11,Female,37,1,Saloon,,TOYOTA,CarSafe
ID_3AH9RIM,11/25/10,11/24/11,Male,2,1,,,,CarSafe
ID_3AQHWXK,10/22/10,1/20/11,Female,38,1,Saloon,Green,TOYOTA,Car Classic
ID_3ATXOKJ,5/16/10,5/15/11,Male,33,1,Saloon,,TOYOTA,Car Classic
ID_3AURTYI,10/9/10,10/8/11,Female,35,1,,,,CarSafe
ID_3B28ESW,9/10/10,9/9/11,Female,7,2,,,,CarSafe
ID_3B2RVTC,1/19/10,1/18/11,Male,39,2,Saloon,Dark Grey,TOYOTA,Car Classic
ID_3B30FGI,8/27/10,8/26/11,Male,43,1,,,,Car Classic
ID_3B8TZTE,4/24/10,4/23/11,Male,39,1,Saloon,,BMW,CarSafe
ID_3BA7JWX,2/28/10,2/27/11,Male,49,2,Saloon,,Innson,CarSafe
ID_3BDM8BR,6/3/10,5/25/11,Female,40,1,Saloon,Silver,TOYOTA,Car Classic
ID_3BNEQM8,11/9/10,5/9/11,Male,49,1,Saloon,,Kia,CarFlex
ID_3BNUEOV,6/28/10,6/27/11,Female,45,1,Saloon,,TOYOTA,CarSafe
ID_3BUZWFU,2/26/10,2/25/11,Female,37,1,Mini Bus,Blue,TOYOTA,Car Classic
ID_3BYX20J,5/15/10,5/10/11,Male,52,1,,Black,TOYOTA,Car Classic
ID_3C5RC8G,8/5/10,8/4/11,Male,43,1,,,,CarSafe
ID_3C5ZQCS,6/8/10,6/6/11,Male,31,1,Saloon,,TOYOTA,CarSafe
ID_3C66A0I,4/10/10,4/9/11,Female,65,1,Saloon,,Kia,CarSafe
ID_3C86Y5A,1/28/10,1/27/11,Male,72,1,JEEP,,Mercedes,Car Plus
ID_3CALJVY,7/30/10,1/8/11,Male,51,1,,,,Car Classic
ID_3CBPDG6,6/27/10,6/26/11,Female,64,1,JEEP,Blue,Lexus,Car Classic
